ecce illa tempestās.	| - u - | - - |
cālīgō bonōrum et subita atque imprōvīsa formīdo.	| - u - | - - |
tenebrae rēī pūblicae.	| - - - | - u - |
ruīna atque incendium cīvitātis.	| - u - | - u - - |
terror iniectus Caesarī dē eius āctīs.	| - u - | - u - - |
metus caedis bonīs omnibus.	| - u - | - u - |
cōnsulum scelus, cupiditās, egestās, audācia.	| - - - | - u - |
sī non sum adiūtus, non dēbuī.	| - - - | - u - |
sī dēsertus, sibī fortasse prōvīdit.	| - u - | - - |
sī etiam oppugnātus, ut quīdam aut putant aut volunt.	| - u - | - u - |
violāta amīcitia est.	| - u - | uu - |
accēpī iniūriam.	| - - - | - u - |
inimīcus esse dēbuī, nōn negō.	| - u - | - u - |
